symbol,price
BTCUSDT,86907.07
WBTCUSDT,86787.09
PAXGUSDT,4127.54
YFIUSDT,4114.0
WBETHUSDT,3158.84
ETHUSDT,2920.42
MKRUSDT,1813.7
BETHUSDT,1556.27
BNBUSDT,854.4
BCHUSDT,520.7
ZECUSDT,497.64
YFIIUSDT,435.5
TAOUSDT,302.6
AAVEUSDT,176.45
BNSOLUSDT,148.0
SOLUSDT,136.71
GNOUSDT,130.79
XMRUSDT,118.7
BIFIUSDT,115.1
GIGGLEUSDT,108.68
AUTOUSDT,95.3
QNTUSDT,86.28
LTCUSDT,84.64
WNXMUSDT,73.26
BNBUPUSDT,61.8
DASHUSDT,55.97
COMPUSDT,29.83
DCRUSDT,22.36
TRBUSDT,21.01
FARMUSDT,20.37
BTGUSDT,17.65
DOTDOWNUSDT,16.737
BTCUPUSDT,16.6
KP3RUSDT,16.48
ETCUSDT,14.03
AVAXUSDT,14.02
OGUSDT,13.076
LINKUSDT,12.94
ZENUSDT,11.795
ETHUPUSDT,11.651
NMRUSDT,11.44
ENSUSDT,11.35
ALCXUSDT,9.42
PROMUSDT,9.326
GMXUSDT,8.82
KSMUSDT,8.62
ILVUSDT,7.87
EGLDUSDT,7.83
BANANAUSDT,7.54
ANTUSDT,7.407
METISUSDT,7.3
RNDRUSDT,7.03
TRUMPUSDT,6.195
UNIUSDT,6.106
INJUSDT,5.9
AUCTIONUSDT,5.53
BTCSTUSDT,5.35
MLNUSDT,5.14
REPUSDT,4.73
HNTUSDT,4.67
XVSUSDT,4.63
DEXEUSDT,4.598
ICPUSDT,4.307
NEOUSDT,4.281
ARUSDT,4.07
TORNUSDT,4.06
EULUSDT,4.047
LPTUSDT,4.033
ORDIUSDT,3.987
OMNIUSDT,3.88
SSVUSDT,3.805
MOVRUSDT,3.142
VANAUSDT,2.734
RPLUSDT,2.59
GALUSDT,2.542
PENDLEUSDT,2.45
ATOMUSDT,2.445
CAKEUSDT,2.392
DOTUSDT,2.264
APTUSDT,2.241
GASUSDT,2.188
XRPUSDT,2.1838
ERNUSDT,2.183
BONDUSDT,2.152
CREAMUSDT,2.1
SANTOSUSDT,1.976
NEARUSDT,1.883
FORTHUSDT,1.797
CVXUSDT,1.788
RENDERUSDT,1.782
BNXUSDT,1.7819
COCOSUSDT,1.7546
FILUSDT,1.634
QTUMUSDT,1.584
TONUSDT,1.55
MORPHOUSDT,1.509
SUIUSDT,1.4994
GNSUSDT,1.462
ASRUSDT,1.382
TOMOUSDT,1.3819
UNFIUSDT,1.341
ZROUSDT,1.309
0GUSDT,1.205
GBPUSDT,1.18
ASTERUSDT,1.158
EURUSDT,1.1571
EURIUSDT,1.1562
TRXDOWNUSDT,1.139
AEURUSDT,1.1352
AXSUSDT,1.127
RAYUSDT,1.118
